# Searching for station nr  7150 in ghcnm.tavg.v3.qca v3.3.0.20161102
# PARIS/LE BOURGET    FRANCE    (FRANCE)
# coordinates:  48.80N,    2.50E,      53.0m (prob:   52m)
# WMO station code:  7150 PARIS/LE_BOURGET              
# tavg [Celsius] daily mean temperature (adjusted) from GHCN-M v3.3.0.20161102
 1877    6.5    6.8    5.7   10.0   11.3   19.2   17.8   18.1   12.2    9.5    8.3    3.5
 1878    2.6    5.1    6.5   11.2   14.3   16.8   18.3   18.1   14.5   10.9    5.0    1.2
 1879    0.3    4.5    6.9    8.1   10.3   16.1   15.9   18.4   15.0   10.0    3.7   -7.6
 1880   -0.9    5.1   10.1   10.0   13.8   15.8   18.7   18.8   16.2    9.6    5.8    7.7
 1881   -1.0    4.8    8.0    9.7   13.6   16.2   20.4   16.9   14.0    7.5    8.7    2.5
 1882    2.3    4.1    8.4   10.3   13.5   15.3   17.2   16.7   13.7   11.2    7.8    4.9
 1883    4.3    5.3    3.0    9.6   14.1   16.6   16.9   18.0   14.8    9.6    6.6    4.5
 1884    5.9    5.7    7.5    8.4   14.4   14.8   19.6   19.9   15.8    9.4    4.3    4.5
 1885    0.1    7.4    5.5   10.4   11.5   18.4   18.8   16.5   14.4    8.9    6.5    2.5
 1886    2.5    1.5    5.6   10.8   14.5   15.5   18.6   18.3   17.1   12.7    7.2    3.3
 1887    0.1    2.5    3.7    8.5   11.7   17.6   19.7   17.6   13.0    7.0    5.3    2.6
 1888    1.2    0.2    4.1    7.8   13.6   16.7   16.0   16.7   14.9    7.9    8.4    3.5
 1889    1.4    2.7    4.8    8.9   15.0   18.8   18.1   17.1   14.0    9.8    6.2    0.6
 1890    6.1    2.2    6.8    9.1   14.3   15.8   16.6   17.0   15.3    9.1    6.3   -3.0
 1891   -0.5    2.8    6.0    8.5   12.3   16.8   17.1   16.4   15.7   11.9    5.1    5.1
 1892    2.3    4.5    4.1   10.6   15.3   17.3   18.1   19.2   15.2    9.2    8.7    1.1
 1893   -1.0    6.2    9.1   14.2   14.4   17.9   19.1   19.6   15.1   11.2    5.0    2.9
 1894    2.8    5.3    8.0   12.5   12.2   16.6   18.7   17.3   13.8   10.4    7.1    4.0
 1895    0.1    4.8    5.1   10.9   14.4   16.8   18.1   18.0   19.0    9.0    9.2    5.6
 1896    2.8    3.1    8.9    9.6   13.4   17.7   19.2   16.1   14.9    9.0    3.0    4.0
 1897    2.5    7.3    9.0    9.8   12.5   18.6   18.8   18.2   14.0   10.2    5.9    3.7
 1898    3.9    4.7    4.6   10.8   12.3   15.4   17.4   20.5   16.5   12.6    7.7    5.3
 1899    6.3    6.0    5.8    9.8   12.8   17.6   19.9   21.1   15.9   10.2    7.7    0.4
 1900    5.1    5.4    4.4   10.0   12.9   18.0   21.9   17.9   15.9   11.2    8.0    6.4
 1901    3.0    0.0    4.7   11.0   14.5   17.9   20.1   18.8   15.5   10.3    4.0    4.0
 1902    4.5    2.6    8.1   11.1   10.7   15.8   18.5   17.2   14.7    9.7    6.2    2.8
 1903    3.8    6.4    8.2    7.5   14.0   15.5   18.0   17.2   15.8   12.4    6.8    1.7
 1904    2.2    4.5    5.4   11.0   14.6   16.6   21.4   18.6   13.4   10.8    4.9    5.2
 1905    1.7    4.6    8.2    9.5   12.8   17.4   20.2   17.5   14.4    7.2    5.1    3.7
 1906    5.0    3.5    5.9    9.6   13.7   16.4   19.0   18.9   15.0   13.3    8.1    1.7
 1907    2.8    2.0    7.0    9.0   13.9   15.4   16.6   17.8   16.2   11.7    7.6    5.1
 1908    0.2    5.0    4.6    8.5   15.3   18.2   18.4   16.7   14.8   11.5    5.3    2.4
 1909    1.7    1.9    4.9   11.7   13.6   14.8   16.0   18.1   13.9   12.0    4.1    4.4
 1910    4.1    5.5    6.7    9.1   12.9   16.7   16.6   17.4   14.5   12.1    5.4    6.6
 1911    1.1    4.5    6.9    9.0   15.0   16.9   21.4   21.7   17.4   11.2    6.5    7.1
 1912    4.8    7.2    9.0   10.3   14.9   16.5   18.9   15.2   11.8    9.4    5.7    5.9
 1913    6.1    4.4    8.4   10.2   14.0   16.2   16.6   17.4   15.3   11.9    9.8    3.6
 1914    0.0    6.5    8.1   12.5   13.2   15.8   17.8   18.9   15.0   10.1    5.9    6.5
 1915    4.3    4.7    5.7    9.5   15.4   18.1   17.5   17.4   14.7    8.9    3.9    8.0
 1916    7.3    4.6    5.9   10.2   14.9   13.9   17.2   18.2   14.4   11.2    6.6    4.0
 1917    0.7   -0.6    4.3    6.6   16.8   19.0   18.5   16.9   15.9    9.0    8.0    0.4
 1918    3.0    5.3    6.6    8.8   15.7   15.6   18.5   18.5   14.9    9.3    5.8    7.6
 1919    3.1    2.7    6.5    7.9   15.8   17.3   15.5   19.3   15.9    7.5    4.2    6.3
 1920    5.5    6.5    8.9   10.5   15.0   16.7   17.6   16.1   14.9   11.0    4.2    3.9
 1921    7.3    4.4    7.8   10.2   14.7   17.6   21.7   18.3   16.3   14.0    2.7    4.6
 1922    4.2    4.7    6.5    8.2   15.7   17.0   16.7   16.6   13.4    7.5    4.9    4.8
 1923    4.4    6.3    7.9    9.9   12.7   14.1   20.4   18.5   15.1   11.7    4.2    3.6
 1924    4.2    2.1    6.2    9.4   15.3   16.2   17.8   15.4   14.7   11.6    6.8    3.8
 1925    4.6    5.6    4.1    9.7   13.8   16.9   18.3   17.4   12.7   11.4    4.1    3.8
 1926    4.0    8.6    7.3   10.6   12.4   14.6   18.7   18.3   16.8   10.7    8.0    2.0
 1927    4.5    4.3    8.3   10.6   14.4   15.5   17.9   17.5   14.8   10.9    5.8    1.7
 1928    5.4    6.8    7.4   10.4   12.4   16.4   20.3   18.7   15.2   11.0    8.5    4.2
 1929   -0.1   -1.6    7.1    7.8   14.4   16.5   19.9   18.5   18.7   11.2    7.1    6.9
